# self-oscillation statistics, 2026-07-10T14:34:53, gain=2.3, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04
cycle,t_s,f_MHz,R_V
483,197.7535,2864.035959,3.52316916e-05
484,198.1435,2861.715395,2.05582612e-04
485,198.5602,2862.587665,6.23914104e-05
486,198.9875,2863.805959,4.68730471e-05
487,199.3863,2861.754079,1.93532741e-04
488,199.8056,2862.392749,7.28678135e-05
489,200.2032,2862.769340,8.46214654e-05
490,200.6275,2864.441102,2.65360395e-05
491,201.0409,2861.827893,2.18707061e-04
492,201.4270,2862.559862,6.86836076e-05
493,201.8700,2863.152149,7.49480125e-05
494,202.2702,2862.147416,1.46570621e-04
495,202.6838,2862.785571,7.28909099e-05
496,203.1214,2863.374289,7.51080864e-05
497,203.5193,2861.858555,1.69487851e-04
498,203.9233,2862.529944,7.14004458e-05
499,204.3545,2863.266365,6.84839128e-05
500,204.7563,2861.961083,1.60049582e-04
501,205.2021,2861.824189,1.07650064e-04
502,205.5918,2862.621538,6.57514485e-05
503,206.0059,2862.728252,9.67248176e-05
504,206.4366,2863.055562,8.68315794e-05
505,206.8396,2862.155410,1.41880429e-04
506,207.2387,2862.675688,7.81774464e-05
507,207.6590,2862.969759,8.83222896e-05
508,208.0733,2862.291790,1.31916057e-04
509,208.5035,2863.240567,5.89602088e-05
510,208.8934,2862.147883,1.50515053e-04
511,209.3079,2862.792192,7.26149262e-05
512,209.7544,2863.211251,8.27168781e-05
513,210.1415,2862.166292,1.48374681e-04
514,210.5764,2862.383461,9.17711943e-05
515,210.9912,2862.703265,8.71682043e-05
516,211.3908,2862.721077,1.00711896e-04
517,211.8205,2863.705546,5.73595123e-05
518,212.2234,2861.819747,1.86084400e-04
519,212.5992,2861.523893,1.14779055e-04
520,213.0049,2862.520885,5.67979469e-05
521,213.3939,2862.743427,9.15301848e-05
522,213.8382,2864.796155,9.45062751e-06
523,214.2375,2861.569539,2.46216936e-04
524,214.6378,2860.874853,1.32665756e-04
525,214.9884,2862.121647,4.55948703e-05
526,215.3880,2862.799958,7.10900260e-05
527,215.8205,2863.119273,8.71901380e-05
528,216.2082,2862.172755,1.43959843e-04
529,216.6234,2862.728253,7.65978868e-05
530,217.0417,2864.136258,3.83649474e-05
531,217.4549,2861.599697,2.15269560e-04
532,217.8557,2862.554972,5.86688643e-05
533,218.2759,2863.927154,3.99715141e-05
534,218.6766,2861.762922,1.98571481e-04
535,219.0723,2862.565885,6.54996564e-05
536,219.4913,2863.168399,7.44893364e-05
537,219.8746,2862.162250,1.46634146e-04
538,220.2738,2862.604232,8.16888447e-05
539,220.6694,2863.848485,4.57088101e-05
540,221.0704,2861.715547,1.97168024e-04
541,221.4750,2862.652786,5.94777218e-05
542,221.9049,2863.062801,8.31224543e-05
543,222.2496,2862.192743,1.40530793e-04
544,222.6576,2862.888180,7.03219583e-05
545,223.0989,2862.902368,1.00874403e-04
546,223.4897,2862.341410,1.26668323e-04
547,223.8886,2862.609536,8.94859022e-05
548,224.3387,2863.922717,4.26175636e-05
549,224.7426,2861.689300,2.01674257e-04
550,225.1551,2862.511716,6.46272592e-05
551,225.5875,2864.291615,2.16863524e-05
552,225.9834,2861.646289,2.20147434e-04
553,226.3787,2862.483828,6.39489853e-05
554,226.7702,2863.386576,6.10245777e-05
555,227.1698,2862.045481,1.61655661e-04
556,227.5596,2862.648916,7.44480436e-05
557,228.0120,2863.835170,4.83099877e-05
558,228.4092,2861.783471,1.93524629e-04
559,228.8417,2861.382763,1.19481483e-04
560,229.2347,2862.447688,5.37512857e-05
561,229.5897,2862.681405,9.10290571e-05
